"REG_CODE";"REG_LIBELLE";"DEP_CODE";"DEP_LIBELLE";"COMM";"TYPE_DAU";"NUM_DAU";"ETAT_DAU";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"DATE_REELLE_DAACT";"AN_DEPOT";"DR_DEPOT";"DPC_AUT";"DPC_DOC";"DPC_DERN";"APE_DEM";"CJ_DEM";"DENOM_DEM";"SIREN_DEM";"SIRET_DEM";"CODPOST_DEM";"LOCALITE_DEM";"REC_ARCHI";"ADR_NUM_TER";"ADR_LIBVOIE_TER";"ADR_LIEUDIT_TER";"ADR_LOCALITE_TER";"ADR_CODPOST_TER";"SEC_CADASTRE1";"NUM_CADASTRE1";"SEC_CADASTRE2";"NUM_CADASTRE2";"SEC_CADASTRE3";"NUM_CADASTRE3";"SUPERFICIE_TERRAIN";"ZONE_OP";"NATURE_PROJET_DECLAREE";"NATURE_PROJET_COMPLETEE";"DESTINATION_PRINCIPALE";"TYPE_TRANSFO_PRINCIPAL";"TYPE_PRINCIP_LOCAUX_TRANSFORMES";"I_EXTENSION";"I_SURELEVATION";"I_NIVSUPP";"NB_NIV_MAX";"NB_CHAMBRES";"SURF_HAB_AVANT";"SURF_HAB_CREEE";"SURF_HAB_ISSUE_TRANSFO";"SURF_HAB_DEMOLIE";"SURF_HAB_TRANSFORMEE";"SURF_LOC_AVANT";"SURF_LOC_CREEE";"SURF_LOC_ISSUE_TRANSFO";"SURF_LOC_DEMOLIE";"SURF_LOC_TRANSFORMEE";"SURF_AUTR_AVANT";"SURF_AUTR_CREEE";"SURF_AUTR_ISSUE_TRANSFO";"SURF_AUTR_DEMOLIE";"SURF_AUTR_TRANSFORMEE";"SURF_COM_AVANT";"SURF_COM_CREEE";"SURF_COM_ISSUE_TRANSFO";"SURF_COM_DEMOLIE";"SURF_COM_TRANSFORMEE";"SURF_AGR_AVANT";"SURF_AGR_CREEE";"SURF_AGR_ISSUE_TRANSFO";"SURF_AGR_DEMOLIE";"SURF_AGR_TRANSFORMEE";"SURF_PUB_AVANT";"SURF_PUB_CREEE";"SURF_PUB_ISSUE_TRANSFO";"SURF_PUB_DEMOLIE";"SURF_PUB_TRANSFORMEE";"TYPE_SERVICE_PUBLIC"
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100117V0002";5;"2017-05-05";"2017-06-01";;2017;;"2017-05";"2018-02";"2018-02";"01.50Z";6533;"GROUPEMENT AGRICOLE D'EXPLOITATION EN COMMUN RECONNU DU MOLESON";"434449088";"43444908800013";"01400";"L'ABERGEMENT CLEMENCIA";"false";;;;"ABERGEMENT CLEMENCIAT";;"ZA";"88";"ZA";"86";"ZA";"81";5810;4;1;1;7;;;"false";"false";"false";0;0;0;0;0;0;0;2755;2513;0;0;0;0;0;0;0;0;0;0;0;0;0;2755;2513;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100119V0005";2;"2019-08-29";;;2019;;"2019-09";;"2019-09";"01.61Z";6316;"CUMA DE L'ABERGEMENT CLEMENCIAT";"779289941";"77928994100014";"01400";"ABERGEMENT CLEMENCIAT";"false";"203";"RUE DES CINQ CHEMINS";;"ABERGEMENT CLEMENCIAT";"01400";"ZH";"44";"ZH";"43";"ZH";"42";6420;4;2;5;3;;;"false";"true";"false";0;0;0;0;0;0;0;409;86;0;0;0;88;44;0;0;0;321;42;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"PC";"00100120V0003";6;"2020-05-25";"2024-07-08";"2025-11-17";2020;;"2020-05";"2024-07";"2025-11";;;;;;"01400";"ABERGEMENT CLEMENCIAT";"false";"172";"ROUTE DU CHATEAU";;"ABERGEMENT CLEMENCIAT";;"ZH";"1";;;;;2140;4;1;1;9;;;"false";"false";"false";0;0;0;0;0;0;0;0;781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;781;0;0;0;6
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"DP";"00100119V0011";2;"2019-07-22";;;2019;;"2019-07";;"2019-07";;;;;;"01400";"ABERGEMENT CLEMENCIAT";"false";;"SUR BRODY";;"ABERGEMENT CLEMENCIAT";;"ZA";"88";"ZA";"87";;;145370;4;2;5;7;;;"true";"false";"false";0;0;0;0;0;0;0;2513;420;0;0;0;0;0;0;0;0;0;0;0;0;0;2513;420;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01001";"DP";"00100120V0011";2;"2020-04-05";;;2020;;"2020-04";;"2020-04";"61.10Z";5599;"ORANGE";"380129866";"38012986611235";"69424";"LYON 03";"false";;"LE SORBIER";;"ABERGEMENT CLEMENCIAT";"01400";"ZM";"28";;;;;15150;4;1;1;9;;;"false";"false";"false";0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;5
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01002";"PC";"00100213A0002";2;"2014-01-01";;;2013;;"2014-01";;"2014-01";;;;;;"01640";"L ABERGEMENT-DE-VAREY";"false";;"RTE DES GRANGES";"DALIVOY";"L ABERGEMENT-DE-VAREY";"01640";"AB";"494";"AB";"493";;;802;4;2;5;3;;;"false";"false";"false";0;0;0;0;0;0;0;42;36;0;0;0;42;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01002";"PC";"00100217A0007";2;"2018-01-17";;;2017;"2017-01-01";"2018-11";;"2018-11";;;;;;"01 64";"L'ABERGEMENT-DE-VAREY";"false";;"LIEU-DIT  """"COTE SAVIN""""";;"L'ABERGEMENT-DE-VAREY";"01 64";"AH";"948";"AH";"942";"AH";"941";10009;4;2;3;7;1;7;"false";"false";"false";0;0;0;0;38;0;0;77;265;0;0;38;0;0;0;0;0;0;0;0;0;0;77;265;0;0;38;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01002";"PC";"00100218A0001";2;"2018-07-09";;;2018;;"2018-07";;"2018-07";;;;;;"01500";"AMBERIEU EN BUGEY";"false";;"SOUS LA TOUR";;"L'ABERGEMENT-DE-VAREY";"01 64";"AC";"557";"AC";"558";"AC";"559";5340;4;1;1;7;;;"false";"false";"false";0;0;0;0;0;0;0;0;713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01002";"PC";"00100220A0003";2;"2020-10-01";;;2020;;"2020-10";;"2020-10";"84.11Z";7210;"COMMUNE DE L ABERGEMENT DE VAREY";"210100020";"21010002000010";"01 64";"L'ABERGEMENT-DE-VAREY";"false";;"PLACE DU PESE-LAIT";;"L'ABERGEMENT-DE-VAREY";"01 64";"AE";"149";"AE";"6";"AE";"5";956;4;1;1;9;;;"false";"false";"false";0;0;0;0;0;0;0;27;39;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;39;0;27;0;5
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01002";"PC";"00100220A0004";2;"2020-12-09";;;2020;;"2021-09";;"2021-09";;;;;;"01640";"JUJURIEUX";"false";"385";"ROUTE DE SALAPORT";;"L'ABERGEMENT-DE-VAREY";"01 64";"AH";"964";;;;;468;4;2;3;7;4;7;"true";"false";"false";0;0;0;0;0;0;0;38;114;38;0;38;0;0;0;0;0;0;0;0;0;0;38;114;38;0;38;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01002";"DP";"00100213A0002";2;"2013-04-27";;;2013;;"2013-04";;"2013-04";"84.13Z";7353;"SI D ENERGIE ET DE E-COMMUNICATION DE L AIN";"250100211";"25010021100011";;;"false";;;"LES FONTANELLES";"L ABERGEMENT-DE-VAREY";"01640";"AE";"6";;;;;775;4;1;1;9;;;"false";"false";"false";0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;5
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01002";"DP";"00100221A0009";2;"2021-07-26";;;2021;;"2021-07";;"2021-07";;;;;;"01640";"L'ABERGEMENT DE VAREY";"false";;"LES FAYES";;"L'ABERGEMENT-DE-VAREY";"01 64";"0C";"1534";;;;;7053;4;2;5;7;;;"true";"false";"false";0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100412A1095";2;"2013-03-20";;;2012;;"2013-03";;"2013-03";"68.20B";6599;"FONCIERE CHABRIERES";"344092341";"34409234100017";"75015";"PARIS";"false";;"LE TERREAU";;"AMBERIEU EN BUGEY";;"AC";"800";"AC";"800";"AC";"800";65670;4;1;1;4;;;"false";"false";"false";0;0;0;0;0;0;0;0;469;0;0;0;0;0;0;0;0;0;469;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100412A1103";2;"2013-05-29";;;2012;;"2013-05";;"2013-05";"68.10Z";5499;"DLC";"482210846";"48221084600010";"73420";"VIVIERS DU LAC";"false";;"JEAN DE PARIS";;"AMBERIEU EN BUGEY";;"AH";"180";"AH";"180";;;10468;4;1;1;4;;;"false";"false";"false";0;0;0;0;0;0;0;3205;1100;0;0;0;0;0;0;0;0;3205;1100;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100413A1003";5;"2013-03-20";"2013-10-15";;2013;"2013-01-01";"2013-03";"2013-10";"2013-10";;;;;;"69002";"LYON";"false";;"QUARTIER DE LA CHAPELLE";;"AMBERIEU EN BUGEY";;"BS";"128";"BS";"128";"BS";"128";2752;4;1;1;1;;;"false";"false";"false";5;0;0;3126;0;0;0;0;333;0;0;0;0;333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100413A1005";2;"2013-02-14";;;2013;;"2013-02";;"2013-02";"68.20B";6599;"BUG";"489562371";"48956237100018";"01350";"ANGLEFORT";"false";;"EN POINT BOEUF";;"AMBERIEU EN BUGEY";;"AB";"555";;;;;5791;4;1;1;3;;;"false";"false";"false";0;0;0;0;0;0;0;0;395;0;0;0;0;395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100413A1006";2;"2013-02-28";;;2013;"2013-01-01";"2013-02";;"2013-02";;;;;;"01160";"PRIAY";"false";;"18 AV ROGER SALENGRO";;"AMBERIEU EN BUGEY";;"BS";"164";;;;;390;4;2;3;4;4;4;"true";"false";"false";2;0;60;6;78;0;60;98;6;80;0;98;0;6;80;0;0;98;0;0;0;98;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100413A1031";2;"2013-07-28";;;2013;;"2013-12";;"2013-12";;;;;;"01500";"AMBERIEU EN BUGEY";"false";;"LA BRETONIERE";;"AMBERIEU EN BUGEY";;"AM";"158";"AM";"158";"AM";"158";1772;4;1;1;4;;;"false";"false";"false";0;0;0;0;0;0;0;119;767;0;119;0;0;0;0;0;0;119;767;0;119;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100413A1059";2;"2013-12-18";;;2013;;"2013-12";;"2013-12";"64.20Z";5710;"SHARC";"338697162";"33869716200026";"01500";"AMBERIEU EN BUGEY";"false";;"PRE ROUSSET";;"AMBERIEU EN BUGEY";;"AI";"292";"AI";"292";"AI";"292";5327;4;1;1;3;;;"false";"false";"false";0;0;0;0;0;0;0;1362;238;0;0;0;1362;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100413A1064";2;"2014-02-27";;;2013;;"2014-03";;"2014-03";"68.20B";6540;"LES PETITS LOUPS";"801081753";;"01500";"AMBERIEU EN BUGEY";"false";;"SOUS PRE LABE";;"AMBERIEU EN BUGEY";;"AT";"805";"AT";"805";"AT";"805";27034;4;1;1;9;;;"false";"false";"false";0;0;0;0;0;0;0;0;380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;380;0;0;0;4
